t,phi,delta,deltasim
3.67,-0.85943,-2.2143,-5.6982
3.68,-0.76394,-3.7143,-7.668
3.69,-0.66845,-5,-9.116
3.7,-0.6207,-6.0714,-10.035
3.71,-0.57296,-6.8571,-10.456
3.72,-0.52521,-7.4286,-10.442
3.73,-0.47747,-7.7857,-10.079
3.74,-0.47747,-8,-9.4608
3.75,-0.47747,-8.0714,-8.6883
3.76,-0.47747,-8.1429,-7.8563
3.77,-0.47747,-8.0714,-7.0491
3.78,-0.47747,-8.0714,-6.3355
3.79,-0.47747,-8.1429,-5.7662
3.8,-0.57296,-8.2143,-5.3742
3.81,-0.66845,-8.2857,-5.1757
3.82,-0.7162,-8.3571,-5.1711
3.83,-0.76394,-8.4286,-5.3479
3.84,-0.81169,-8.5,-5.6831
3.85,-0.85943,-8.5714,-6.1466
3.86,-0.90717,-8.6429,-6.7045
3.87,-0.95492,-8.7143,-7.3228
3.88,-1.0027,-8.7857,-7.9701
3.89,-1.0504,-8.8571,-8.6198
3.9,-1.0982,-8.9286,-9.2521
3.91,-1.1459,-9.1429,-9.8545
3.92,-1.1459,-9.4286,-10.421
3.93,-1.1459,-9.7143,-10.952
3.94,-1.1936,-10.071,-11.451
3.95,-1.2414,-10.154,-11.708
3.96,-1.2501,-10.25,-11.942
3.97,-1.2605,-10.364,-12.155
3.98,-1.2732,-10.5,-12.352
3.99,-1.2891,-10.667,-12.539
4,-1.3096,-10.875,-12.723
