t,y
4.5392,0.017021
4.5441,0.017036
4.549,0.017048
4.5539,0.017057
4.5588,0.017063
4.5636,0.017067
4.5685,0.017069
4.5734,0.017068
4.5783,0.017064
4.5831,0.017059
4.588,0.017051
4.5929,0.017042
4.5978,0.017032
4.6026,0.01702
4.6075,0.017007
4.6124,0.016993
4.6173,0.016979
4.6221,0.016965
4.627,0.016951
4.6319,0.016938
4.6368,0.016925
4.6416,0.016913
4.6465,0.016902
4.6514,0.016893
4.6563,0.016885
4.6611,0.01688
4.666,0.016876
4.6709,0.016874
4.6758,0.016875
4.6806,0.016878
4.6855,0.016883
4.6904,0.016891
4.6953,0.016901
4.7001,0.016913
4.705,0.016928
4.7099,0.016945
4.7148,0.016964
4.7196,0.016985
4.7245,0.017008
4.7294,0.017033
4.7343,0.017059
4.7392,0.017086
4.744,0.017114
4.7489,0.017143
4.7538,0.017172
4.7587,0.017202
4.7635,0.017232
4.7684,0.017261
4.7733,0.01729
4.7782,0.017318
4.783,0.017346
4.7879,0.017372
4.7928,0.017397
4.7977,0.01742
4.8025,0.017442
4.8074,0.017462
4.8123,0.01748
4.8172,0.017495
4.822,0.017509
4.8269,0.017521
4.8318,0.017531
4.8367,0.017538
4.8415,0.017544
4.8464,0.017547
4.8513,0.017548
4.8562,0.017548
4.861,0.017546
4.8659,0.017543
4.8708,0.017538
4.8757,0.017532
4.8805,0.017525
4.8854,0.017517
4.8903,0.017509
4.8952,0.0175
4.9,0.017491
4.9049,0.017483
4.9098,0.017474
4.9147,0.017467
4.9196,0.01746
4.9244,0.017454
4.9293,0.017448
4.9342,0.017445
4.9391,0.017442
4.9439,0.017442
4.9488,0.017443
4.9537,0.017445
4.9586,0.01745
4.9634,0.017456
4.9683,0.017464
4.9732,0.017474
4.9781,0.017486
4.9829,0.0175
4.9878,0.017515
4.9927,0.017533
4.9976,0.017551
5.0024,0.017571
5.0073,0.017593
5.0122,0.017615
5.0171,0.017639
5.0219,0.017663
5.0268,0.017688
5.0317,0.017713
5.0366,0.017739
5.0414,0.017764
5.0463,0.01779
5.0512,0.017815
5.0561,0.017839
5.0609,0.017863
5.0658,0.017886
5.0707,0.017907
5.0756,0.017928
5.0804,0.017947
5.0853,0.017965
5.0902,0.017982
5.0951,0.017996
5.1,0.01801
5.1048,0.018021
5.1097,0.018031
5.1146,0.018039
5.1195,0.018046
5.1243,0.018051
5.1292,0.018055
5.1341,0.018057
5.139,0.018058
5.1438,0.018057
5.1487,0.018056
5.1536,0.018054
5.1585,0.018051
5.1633,0.018047
5.1682,0.018043
5.1731,0.018038
5.178,0.018034
5.1828,0.018029
5.1877,0.018025
5.1926,0.018021
5.1975,0.018018
5.2023,0.018016
5.2072,0.018014
5.2121,0.018014
5.217,0.018014
5.2218,0.018016
5.2267,0.018019
5.2316,0.018023
5.2365,0.018029
5.2413,0.018036
5.2462,0.018045
5.2511,0.018055
5.256,0.018066
5.2608,0.018079
5.2657,0.018094
5.2706,0.01811
5.2755,0.018126
5.2804,0.018145
5.2852,0.018164
5.2901,0.018184
5.295,0.018204
5.2999,0.018226
5.3047,0.018247
5.3096,0.01827
5.3145,0.018292
5.3194,0.018314
5.3242,0.018336
5.3291,0.018358
5.334,0.01838
5.3389,0.018401
5.3437,0.018421
5.3486,0.01844
5.3535,0.018459
5.3584,0.018477
5.3632,0.018493
5.3681,0.018508
5.373,0.018522
5.3779,0.018535
5.3827,0.018547
5.3876,0.018557
5.3925,0.018566
5.3974,0.018573
5.4022,0.01858
5.4071,0.018585
5.412,0.018589
5.4169,0.018592
5.4217,0.018594
5.4266,0.018596
5.4315,0.018596
5.4364,0.018596
5.4412,0.018596
5.4461,0.018595
5.451,0.018594
5.4559,0.018593
5.4608,0.018592
5.4656,0.018591
5.4705,0.01859
5.4754,0.01859
5.4803,0.018591
5.4851,0.018592
5.49,0.018594
5.4949,0.018597
5.4998,0.0186
5.5046,0.018605
5.5095,0.018611
5.5144,0.018618
5.5193,0.018626
5.5241,0.018635
5.529,0.018645
5.5339,0.018657
5.5388,0.018669
5.5436,0.018683
5.5485,0.018697
5.5534,0.018713
5.5583,0.01873
5.5631,0.018747
5.568,0.018765
5.5729,0.018783
5.5778,0.018802
5.5826,0.018822
5.5875,0.018842
5.5924,0.018862
5.5973,0.018881
5.6021,0.018901
5.607,0.018921
5.6119,0.01894
5.6168,0.018959
5.6216,0.018977
5.6265,0.018995
5.6314,0.019012
5.6363,0.019028
5.6412,0.019044
5.646,0.019058
5.6509,0.019072
5.6558,0.019084
