t	v	delta	phi	u
620	62	-1111	-79	-1119
621	62	-1111	-79	-1120
622	62	-1111	-79	-1120
623	62	-1111	-79	-1121
624	62	-1111	-79	-1122
625	62	-1111	-79	-1120
626	62	-1111	-79	-1122
627	62	-1111	-79	-1122
628	62	-1111	-79	-1123
629	61	-1111	-79	-1121
630	61	-1111	-79	-1122
631	61	-1111	-79	-1122
632	61	-1111	-79	-1122
633	61	-1111	-79	-1122
634	61	-1111	-79	-1124
635	61	-1111	-79	-1123
636	61	-1111	-79	-1122
637	61	-1111	-79	-1123
638	61	-1111	-79	-1123
639	62	-1111	-79	-1123
640	62	-1111	-79	-1123
641	62	-1111	-79	-1123
642	62	-1111	-79	-1123
643	62	-1111	-79	-1124
644	62	-1111	-79	-1124
645	62	-1111	-79	-1124
646	62	-1111	-79	-1124
647	62	-1111	-79	-1123
648	62	-1111	-79	-1123
649	62	-1111	-79	-1124
650	62	-1111	-79	-1125
651	62	-1111	-79	-1125
652	62	-1111	-79	-1126
653	62	-1111	-80	-1126
